_time,Amount of Users Detected
2020-02-04T07:30:00.000+1100,41
2020-02-04T08:00:00.000+1100,152
2020-02-04T08:30:00.000+1100,214
2020-02-04T09:00:00.000+1100,312
2020-02-04T09:30:00.000+1100,309
2020-02-04T10:00:00.000+1100,259
2020-02-04T10:30:00.000+1100,246
2020-02-04T11:00:00.000+1100,269
2020-02-04T11:30:00.000+1100,361
2020-02-04T12:00:00.000+1100,349
2020-02-04T12:30:00.000+1100,341
2020-02-04T13:00:00.000+1100,329
2020-02-04T13:30:00.000+1100,346
2020-02-04T14:00:00.000+1100,312
2020-02-04T14:30:00.000+1100,322
2020-02-04T15:00:00.000+1100,243
2020-02-04T15:30:00.000+1100,267
2020-02-04T16:00:00.000+1100,196
2020-02-04T16:30:00.000+1100,145
2020-02-04T17:00:00.000+1100,117
2020-02-04T17:30:00.000+1100,94
2020-02-04T18:00:00.000+1100,38
2020-02-04T18:30:00.000+1100,54
2020-02-04T19:00:00.000+1100,17
2020-02-04T19:30:00.000+1100,14
2020-02-04T20:00:00.000+1100,15
2020-02-04T20:30:00.000+1100,6
2020-02-04T21:00:00.000+1100,10
2020-02-04T21:30:00.000+1100,11
2020-02-04T22:00:00.000+1100,11
2020-02-04T22:30:00.000+1100,5
2020-02-04T23:00:00.000+1100,18
2020-02-04T23:30:00.000+1100,6
2020-02-05T00:00:00.000+1100,128
2020-02-05T00:30:00.000+1100,55
2020-02-05T01:00:00.000+1100,42
2020-02-05T01:30:00.000+1100,473
2020-02-05T02:00:00.000+1100,6
2020-02-05T02:30:00.000+1100,474
2020-02-05T03:00:00.000+1100,8
2020-02-05T03:30:00.000+1100,688
2020-02-05T04:00:00.000+1100,42
2020-02-05T04:30:00.000+1100,376
2020-02-05T05:00:00.000+1100,5
2020-02-05T05:30:00.000+1100,515
2020-02-05T06:00:00.000+1100,671
2020-02-05T06:30:00.000+1100,741
2020-02-05T07:00:00.000+1100,637
2020-02-05T07:30:00.000+1100,776
2020-02-05T08:00:00.000+1100,474
2020-02-05T08:30:00.000+1100,282
2020-02-05T09:00:00.000+1100,668
2020-02-05T09:30:00.000+1100,813
2020-02-05T10:00:00.000+1100,614
2020-02-05T10:30:00.000+1100,94
2020-02-05T11:00:00.000+1100,81
2020-02-05T11:30:00.000+1100,152
2020-02-05T12:00:00.000+1100,184
2020-02-05T12:30:00.000+1100,162
2020-02-05T13:00:00.000+1100,188
2020-02-05T13:30:00.000+1100,164
2020-02-05T14:00:00.000+1100,150
2020-02-05T14:30:00.000+1100,75
2020-02-05T15:00:00.000+1100,107
2020-02-05T15:30:00.000+1100,130
2020-02-05T16:00:00.000+1100,117
2020-02-05T16:30:00.000+1100,130
2020-02-05T17:00:00.000+1100,104
2020-02-05T17:30:00.000+1100,48
2020-02-05T18:00:00.000+1100,39
2020-02-05T18:30:00.000+1100,17
